source,type,timestamp,packet_id,src,dst,hops,from_dir,to_dir,creation_time,deliver_time,traffic,weight
router,packet_routed,2025-09-13 12:45:27.636400,27,,,0,north,east,,,0.02,
router,packet_routed,2025-09-13 12:45:28.553068,28,,,0,local,north,,,0.02,
packet,packet_arrived,2025-09-13 12:45:29.604157,24,"(1, 1)","(2, 2)",3,,,2025-09-13 12:45:12,2025-09-13 12:45:29,0.02,56.37
router,packet_routed,2025-09-13 12:45:29.926128,27,,,0,west,local,,,0.02,
packet,packet_arrived,2025-09-13 12:45:30.814101,25,"(1, 1)","(0, 0)",3,,,2025-09-13 12:45:15,2025-09-13 12:45:30,0.02,52.85
router,packet_routed,2025-09-13 12:45:31.365283,28,,,0,south,west,,,0.02,
router,packet_routed,2025-09-13 12:45:33.571757,29,,,0,local,south,,,0.02,
packet,packet_arrived,2025-09-13 12:45:34.523255,26,"(0, 0)","(1, 0)",2,,,2025-09-13 12:45:16,2025-09-13 12:45:34,0.02,34.17
router,packet_routed,2025-09-13 12:45:35.057890,30,,,0,local,south,,,0.02,
router,packet_routed,2025-09-13 12:45:36.994801,28,,,0,east,local,,,0.02,
packet,packet_arrived,2025-09-13 12:45:37.175941,27,"(1, 1)","(2, 2)",3,,,2025-09-13 12:45:18,2025-09-13 12:45:37,0.02,56.37
router,packet_routed,2025-09-13 12:45:37.597792,29,,,0,north,local,,,0.02,
router,packet_routed,2025-09-13 12:45:38.780688,30,,,0,north,east,,,0.02,
router,packet_routed,2025-09-13 12:45:39.463046,30,,,0,west,local,,,0.02,
packet,packet_arrived,2025-09-13 12:45:39.541182,28,"(1, 1)","(0, 0)",3,,,2025-09-13 12:45:21,2025-09-13 12:45:39,0.02,52.85
packet,packet_arrived,2025-09-13 12:45:40.070203,29,"(0, 0)","(1, 0)",2,,,2025-09-13 12:45:26,2025-09-13 12:45:40,0.02,34.17
packet,packet_arrived,2025-09-13 12:45:40.755418,30,"(1, 1)","(2, 2)",3,,,2025-09-13 12:45:28,2025-09-13 12:45:40,0.02,56.37
router,packet_routed,2025-09-13 12:45:49.299269,32,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:45:50.208252,31,,,0,local,north,,,0.04,
